pc,x,y,block,street_name,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE,MULTI GENERATION,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,town
190001,103.864241,1.3037530000000002,1,BEACH RD,16.0,1970.0,Y,Y,N,N,N,N,KWN,142.0,0.0,1.0,138.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KALLANG/WHAMPOA
460001,103.933776,1.320869,1,BEDOK STH AVE 1,14.0,1975.0,Y,N,N,Y,N,N,BD,206.0,0.0,0.0,204.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
461001,103.9223,1.328047,1,CHAI CHEE RD,15.0,1982.0,Y,N,N,N,N,N,BD,102.0,0.0,0.0,0.0,10.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
500001,103.987668,1.388374,1,CHANGI VILLAGE RD,4.0,1975.0,Y,Y,N,N,N,N,PRC,55.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASIR RIS
160001,103.82855,1.292093,1,DELTA AVE,25.0,1982.0,Y,N,N,N,N,N,BM,96.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
130001,103.783134,1.30253,1,DOVER RD,12.0,1975.0,Y,N,N,Y,N,N,QT,125.0,0.0,0.0,118.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
450001,103.923155,1.311786,,,,,,,,,,,,,,,,,,,,,,,,,
081001,103.84014,1.2774219999999998,1,EVERTON PK,12.0,1980.0,Y,Y,N,N,N,N,BM,95.0,0.0,0.0,62.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
270001,103.786701,1.312786,1,GHIM MOH RD,15.0,1975.0,Y,N,N,Y,N,N,QT,220.0,0.0,0.0,216.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
430001,103.897851,1.311358,1,HAIG RD,15.0,1976.0,Y,N,N,Y,N,N,GL,219.0,0.0,0.0,214.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GEYLANG
