	addr	pc	x	y
0	('1', 'BEACH RD', 'KALLANG/WHAMPOA')	190001	103.864241	1.3037530000000002
1	('1', 'BEDOK STH AVE 1', 'BEDOK')	460001	103.933776	1.320869
2	('1', 'CHAI CHEE RD', 'BEDOK')	461001	103.9223	1.328047
3	('1', 'CHANGI VILLAGE RD', 'PASIR RIS')	500001	103.987668	1.388374
4	('1', 'DELTA AVE', 'BUKIT MERAH')	160001	103.82855	1.292093
5	('1', 'DOVER RD', 'QUEENSTOWN')	130001	103.78313399999999	1.30253
6	('1', 'EAST COAST RD', 'BEDOK')	450001	103.92315500000001	1.3117860000000001
7	('1', 'EVERTON PK', 'BUKIT MERAH')	081001	103.84014	1.2774219999999998
8	('1', 'GHIM MOH RD', 'QUEENSTOWN')	270001	103.78670100000001	1.312786
9	('1', 'HAIG RD', 'GEYLANG')	430001	103.897851	1.311358
10	('1', 'HOUGANG AVE 3', 'HOUGANG')	530001	103.89291	1.364092
11	('1', 'JLN BT MERAH', 'BUKIT MERAH')	150001	103.808036	1.286551
12	('1', 'JLN PASAR BARU', 'GEYLANG')	409141		
13	('1', 'KG KAYU RD', 'KALLANG/WHAMPOA')	431001	103.883744	1.303557
14	('1', 'LOR 7 TOA PAYOH', 'TOA PAYOH')	310001	103.85339	1.339532
15	('1', 'LOR LEW LIAN', 'SERANGOON')	531001	103.87553199999999	1.351017
16	('1', 'MARINE TER', 'MARINE PARADE')	440001	103.918661	1.304812
17	('1', 'MARSILING DR', 'WOODLANDS')	730001	103.775583	1.440641
18	('1', 'PINE CL', 'GEYLANG')	390001	103.88315899999999	1.308
19	"('1', ""QUEEN'S RD"", 'BUKIT TIMAH')"	260001	103.806758	1.317222
20	('1', 'REDHILL CL', 'BUKIT MERAH')	151001	103.817735	1.2843209999999998
21	('1', 'ROCHOR RD', 'CENTRAL AREA')	180001	103.854444	1.3028110000000002
22	('1', 'SELETAR WEST FARMWAY 6', 'SENGKANG')	798042	103.870426	1.394236
23	"('1', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320001	103.86174100000001	1.32333
24	('1', 'TECK WHYE AVE', 'CHOA CHU KANG')	680001	103.751873	1.382539
25	('1', 'TELOK BLANGAH CRES', 'BUKIT MERAH')	090001	103.817738	1.279492
26	('1', 'TG PAGAR PLAZA', 'CENTRAL AREA')	082001	103.842985	1.275482
27	('1', 'TIONG BAHRU RD', 'BUKIT MERAH')	162001	103.83294000000001	1.28615
28	('1', 'TOH YI DR', 'BUKIT TIMAH')	591501	103.774662	1.339551
29	('1', 'UPP ALJUNIED LANE', 'TOA PAYOH')	360001	103.878677	1.3343200000000002
30	('10', 'CHAI CHEE RD', 'BEDOK')	467010	103.92460600000001	1.32751
31	('10', 'EUNOS CRES', 'GEYLANG')	400010	103.90254300000001	1.32223
32	('10', 'GHIM MOH RD', 'QUEENSTOWN')	270010		
33	('10', 'GLOUCESTER RD', 'KALLANG/WHAMPOA')	210010	103.852129	1.314035
34	('10', 'HAIG RD', 'GEYLANG')	430010	103.895763	1.314786
35	('10', 'HOLLAND AVE', 'QUEENSTOWN')	271010	103.794206	1.308142
36	('10', 'JLN BATU', 'KALLANG/WHAMPOA')	669130	103.76284	1.360308
37	('10', 'JLN BT HO SWEE', 'BUKIT MERAH')	161010	103.832573	1.287456
38	('10', 'JLN KUKOH', 'CENTRAL AREA')	162010	103.839226	1.287077
