	addr	pc
0	"('1', 'BEACH RD', 'KALLANG/WHAMPOA')"	190001
1	"('1', 'BEDOK STH AVE 1', 'BEDOK')"	460001
2	"('1', 'CHAI CHEE RD', 'BEDOK')"	461001
3	"('1', 'CHANGI VILLAGE RD', 'PASIR RIS')"	500001
4	"('1', 'DELTA AVE', 'BUKIT MERAH')"	160001
5	"('1', 'DOVER RD', 'QUEENSTOWN')"	130001
6	"('1', 'EAST COAST RD', 'BEDOK')"	450001
7	"('1', 'EVERTON PK', 'BUKIT MERAH')"	81001
8	"('1', 'GHIM MOH RD', 'QUEENSTOWN')"	270001
9	"('1', 'HAIG RD', 'GEYLANG')"	430001
10	"('1', 'HOUGANG AVE 3', 'HOUGANG')"	530001
11	"('1', 'JLN BT MERAH', 'BUKIT MERAH')"	150001
12	"('1', 'JLN PASAR BARU', 'GEYLANG')"	409141
13	"('1', 'KG KAYU RD', 'KALLANG/WHAMPOA')"	431001
14	"('1', 'LOR 7 TOA PAYOH', 'TOA PAYOH')"	310001
15	"('1', 'LOR LEW LIAN', 'SERANGOON')"	531001
16	"('1', 'MARINE TER', 'MARINE PARADE')"	440001
17	"('1', 'MARSILING DR', 'WOODLANDS')"	730001
18	"('1', 'PINE CL', 'GEYLANG')"	390001
19	"('1', ""QUEEN'S RD"", 'BUKIT TIMAH')"	260001
20	"('1', 'REDHILL CL', 'BUKIT MERAH')"	151001
21	"('1', 'ROCHOR RD', 'CENTRAL AREA')"	180001
22	"('1', 'SELETAR WEST FARMWAY 6', 'SENGKANG')"	798042
23	"('1', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320001
24	"('1', 'TECK WHYE AVE', 'CHOA CHU KANG')"	680001
25	"('1', 'TELOK BLANGAH CRES', 'BUKIT MERAH')"	90001
26	"('1', 'TG PAGAR PLAZA', 'CENTRAL AREA')"	82001
27	"('1', 'TIONG BAHRU RD', 'BUKIT MERAH')"	162001
28	"('1', 'TOH YI DR', 'BUKIT TIMAH')"	591501
29	"('1', 'UPP ALJUNIED LANE', 'TOA PAYOH')"	360001
30	"('10', 'CHAI CHEE RD', 'BEDOK')"	467010
31	"('10', 'EUNOS CRES', 'GEYLANG')"	400010
32	"('10', 'GHIM MOH RD', 'QUEENSTOWN')"	270010
33	"('10', 'GLOUCESTER RD', 'KALLANG/WHAMPOA')"	210010
34	"('10', 'HAIG RD', 'GEYLANG')"	430010
35	"('10', 'HOLLAND AVE', 'QUEENSTOWN')"	271010
36	"('10', 'JLN BATU', 'KALLANG/WHAMPOA')"	669130
37	"('10', 'JLN BT HO SWEE', 'BUKIT MERAH')"	161010
38	"('10', 'JLN KUKOH', 'CENTRAL AREA')"	162010
39	"('10', 'JLN RUMAH TINGGI', 'BUKIT MERAH')"	150010
40	"('10', 'JOO SENG RD', 'TOA PAYOH')"	360010
41	"('10', 'LOR 7 TOA PAYOH', 'TOA PAYOH')"	310010
42	"('10', 'MARSILING DR', 'WOODLANDS')"	730010
43	"('10', 'PINE CL', 'GEYLANG')"	391010
44	"('10', 'REDHILL CL', 'BUKIT MERAH')"	151010
45	"('10', 'SELEGIE RD', 'CENTRAL AREA')"	180010
46	"('10', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320010
47	"('10', 'TEBAN GDNS RD', 'JURONG EAST')"	600010
48	"('10', 'TECK WHYE AVE', 'CHOA CHU KANG')"	680010
49	"('10', 'TELOK BLANGAH CRES', 'BUKIT MERAH')"	90010
50	"('10', 'TOH YI DR', 'BUKIT TIMAH')"	590010
51	"('10', 'UPP BOON KENG RD', 'KALLANG/WHAMPOA')"	380010
52	"('10', 'YUNG KUANG RD', 'JURONG WEST')"	610010
53	"('100', 'BEDOK NTH AVE 4', 'BEDOK')"	460100
54	"('100', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140100
55	"('100', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310100
56	"('100', 'WHAMPOA DR', 'KALLANG/WHAMPOA')"	320100
57	"('101', 'AH HOOD RD', 'KALLANG/WHAMPOA')"	320101
58	"('101', 'ALJUNIED CRES', 'GEYLANG')"	380101
59	"('101', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560101
60	"('101', 'BEDOK NTH AVE 4', 'BEDOK')"	460101
61	"('101', 'BEDOK RESERVOIR RD', 'BEDOK')"	470101
62	"('101', 'BISHAN ST 12', 'BISHAN')"	570101
63	"('101', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650101
64	"('101', 'BT PURMEI RD', 'BUKIT MERAH')"	90101
65	"('101', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140101
66	"('101', 'CLEMENTI ST 14', 'CLEMENTI')"	120101
67	"('101', 'GANGSA RD', 'BUKIT PANJANG')"	670101
68	"('101', 'HENDERSON CRES', 'BUKIT MERAH')"	150101
69	"('101', 'HOUGANG AVE 1', 'HOUGANG')"	530101
70	"('101', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	321101
71	"('101', 'JURONG EAST ST 13', 'JURONG EAST')"	600101
72	"('101', 'LENGKONG TIGA', 'BEDOK')"	410101
73	"('101', 'PASIR RIS ST 12', 'PASIR RIS')"	510101
74	"('101', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350101
75	"('101', 'RIVERVALE WALK', 'SENGKANG')"	540101
76	"('101', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550101
77	"('101', 'SIMEI ST 1', 'TAMPINES')"	520101
78	"('101', 'TAMPINES ST 11', 'TAMPINES')"	521101
79	"('101', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680101
80	"('101', 'TOWNER RD', 'KALLANG/WHAMPOA')"	322101
81	"('101', 'WHAMPOA DR', 'KALLANG/WHAMPOA')"	323101
82	"('101', 'WOODLANDS ST 13', 'WOODLANDS')"	730101
83	"('101', 'YISHUN AVE 5', 'YISHUN')"	760101
84	"('101A', 'LOR 2 TOA PAYOH', 'TOA PAYOH')"	310101
85	"('101A', 'PUNGGOL FIELD', 'PUNGGOL')"	821101
86	"('101B', 'LOR 2 TOA PAYOH', 'TOA PAYOH')"	311101
87	"('101B', 'PUNGGOL FIELD', 'PUNGGOL')"	822101
88	"('101C', 'PUNGGOL FIELD', 'PUNGGOL')"	823101
89	"('101D', 'PUNGGOL FIELD', 'PUNGGOL')"	824101
90	"('102', 'ALJUNIED CRES', 'GEYLANG')"	380102
91	"('102', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560102
92	"('102', 'BEDOK NTH AVE 4', 'BEDOK')"	460102
93	"('102', 'BEDOK RESERVOIR RD', 'BEDOK')"	470102
94	"('102', 'BISHAN ST 12', 'BISHAN')"	570102
95	"('102', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650102
96	"('102', 'BT PURMEI RD', 'BUKIT MERAH')"	90102
97	"('102', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140102
98	"('102', 'CLEMENTI ST 14', 'CLEMENTI')"	120102
99	"('102', 'GANGSA RD', 'BUKIT PANJANG')"	670102
100	"('102', 'HENDERSON CRES', 'BUKIT MERAH')"	150102
101	"('102', 'HOUGANG AVE 1', 'HOUGANG')"	530102
102	"('102', 'JLN DUSUN', 'KALLANG/WHAMPOA')"	320102
103	"('102', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	321102
104	"('102', 'JURONG EAST ST 13', 'JURONG EAST')"	600102
105	"('102', 'LENGKONG TIGA', 'BEDOK')"	410102
106	"('102', 'PASIR RIS ST 12', 'PASIR RIS')"	510102
107	"('102', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350102
108	"('102', 'RIVERVALE WALK', 'SENGKANG')"	540102
109	"('102', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550102
110	"('102', 'SIMEI ST 1', 'TAMPINES')"	520102
111	"('102', 'TAMPINES ST 11', 'TAMPINES')"	521102
112	"('102', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680102
113	"('102', 'TOWNER RD', 'KALLANG/WHAMPOA')"	322102
114	"('102', 'WOODLANDS ST 13', 'WOODLANDS')"	730102
115	"('102A', 'PUNGGOL FIELD', 'PUNGGOL')"	821102
116	"('102B', 'PUNGGOL FIELD', 'PUNGGOL')"	822102
117	"('102C', 'PUNGGOL FIELD', 'PUNGGOL')"	823102
118	"('102D', 'PUNGGOL FIELD', 'PUNGGOL')"	824102
119	"('103', 'AH HOOD RD', 'KALLANG/WHAMPOA')"	320103
120	"('103', 'ANG MO KIO AVE 3', 'ANG MO KIO')"	560103
121	"('103', 'BEDOK NTH AVE 4', 'BEDOK')"	460103
122	"('103', 'BEDOK RESERVOIR RD', 'BEDOK')"	470103
123	"('103', 'BISHAN ST 12', 'BISHAN')"	570103
124	"('103', 'BT BATOK CTRL', 'BUKIT BATOK')"	651103
125	"('103', 'BT PURMEI RD', 'BUKIT MERAH')"	90103
126	"('103', 'CLEMENTI ST 14', 'CLEMENTI')"	120103
127	"('103', 'DEPOT RD', 'BUKIT MERAH')"	101103
128	"('103', 'GANGSA RD', 'BUKIT PANJANG')"	670103
129	"('103', 'HENDERSON CRES', 'BUKIT MERAH')"	150103
130	"('103', 'HOUGANG AVE 1', 'HOUGANG')"	530103
131	"('103', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	321103
132	"('103', 'JURONG EAST ST 13', 'JURONG EAST')"	600103
133	"('103', 'LENGKONG TIGA', 'BEDOK')"	410103
134	"('103', 'PASIR RIS ST 12', 'PASIR RIS')"	510103
135	"('103', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350103
136	"('103', 'RIVERVALE WALK', 'SENGKANG')"	540103
137	"('103', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550103
138	"('103', 'SPOTTISWOODE PK RD', 'BUKIT MERAH')"	80103
139	"('103', 'TAMPINES ST 11', 'TAMPINES')"	520103
140	"('103', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680103
141	"('103', 'TOWNER RD', 'KALLANG/WHAMPOA')"	322103
142	"('103', 'WOODLANDS ST 13', 'WOODLANDS')"	730103
143	"('103', 'YISHUN RING RD', 'YISHUN')"	760103
144	"('103A', 'DEPOT RD', 'BUKIT MERAH')"	101103
145	"('103A', 'EDGEFIELD PLAINS', 'PUNGGOL')"	821103
146	"('103B', 'DEPOT RD', 'BUKIT MERAH')"	102103
147	"('103B', 'EDGEFIELD PLAINS', 'PUNGGOL')"	822103
148	"('103C', 'EDGEFIELD PLAINS', 'PUNGGOL')"	823103
149	"('104', 'ALJUNIED CRES', 'GEYLANG')"	380104
150	"('104', 'BEDOK NTH AVE 4', 'BEDOK')"	460104
151	"('104', 'BEDOK RESERVOIR RD', 'BEDOK')"	470104
152	"('104', 'BISHAN ST 12', 'BISHAN')"	570104
153	"('104', 'BT BATOK CTRL', 'BUKIT BATOK')"	650104
154	"('104', 'BT PURMEI RD', 'BUKIT MERAH')"	90104
155	"('104', 'CLEMENTI ST 14', 'CLEMENTI')"	120104
156	"('104', 'GANGSA RD', 'BUKIT PANJANG')"	670104
157	"('104', 'HENDERSON CRES', 'BUKIT MERAH')"	150104
158	"('104', 'HOUGANG AVE 1', 'HOUGANG')"	530104
159	"('104', 'JLN DUSUN', 'KALLANG/WHAMPOA')"	320104
160	"('104', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	321104
161	"('104', 'JURONG EAST ST 13', 'JURONG EAST')"	600104
162	"('104', 'LENGKONG TIGA', 'BEDOK')"	410104
163	"('104', 'PASIR RIS ST 12', 'PASIR RIS')"	510104
164	"('104', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350104
165	"('104', 'RIVERVALE WALK', 'SENGKANG')"	540104
166	"('104', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550104
167	"('104', 'SPOTTISWOODE PK RD', 'BUKIT MERAH')"	80104
168	"('104', 'TAMPINES ST 11', 'TAMPINES')"	520104
169	"('104', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680104
170	"('104', 'TOWNER RD', 'KALLANG/WHAMPOA')"	322104
171	"('104', 'WHAMPOA DR', 'KALLANG/WHAMPOA')"	323104
172	"('104', 'WOODLANDS ST 13', 'WOODLANDS')"	730104
173	"('104A', 'ANG MO KIO ST 11', 'ANG MO KIO')"	560104
174	"('104A', 'DEPOT RD', 'BUKIT MERAH')"	101104
175	"('104A', 'EDGEFIELD PLAINS', 'PUNGGOL')"	821104
176	"('104B', 'ANG MO KIO ST 11', 'ANG MO KIO')"	561104
177	"('104B', 'DEPOT RD', 'BUKIT MERAH')"	102104
178	"('104B', 'EDGEFIELD PLAINS', 'PUNGGOL')"	822104
179	"('105', 'ALJUNIED CRES', 'GEYLANG')"	380105
180	"('105', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560105
181	"('105', 'BEDOK NTH AVE 4', 'BEDOK')"	460105
182	"('105', 'BEDOK RESERVOIR RD', 'BEDOK')"	470105
183	"('105', 'BISHAN ST 12', 'BISHAN')"	570105
184	"('105', 'BT BATOK CTRL', 'BUKIT BATOK')"	651105
185	"('105', 'BT PURMEI RD', 'BUKIT MERAH')"	90105
186	"('105', 'CLEMENTI ST 12', 'CLEMENTI')"	120105
187	"('105', 'DEPOT RD', 'BUKIT MERAH')"	100105
188	"('105', 'GANGSA RD', 'BUKIT PANJANG')"	670105
189	"('105', 'HENDERSON CRES', 'BUKIT MERAH')"	150105
190	"('105', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	320105
191	"('105', 'JURONG EAST ST 13', 'JURONG EAST')"	600105
192	"('105', 'LENGKONG TIGA', 'BEDOK')"	410105
193	"('105', 'PASIR RIS ST 12', 'PASIR RIS')"	510105
194	"('105', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350105
195	"('105', 'RIVERVALE WALK', 'SENGKANG')"	540105
196	"('105', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550105
197	"('105', 'SIMEI ST 1', 'TAMPINES')"	520105
198	"('105', 'TAMPINES ST 11', 'TAMPINES')"	521105
199	"('105', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680105
200	"('105', 'TOWNER RD', 'KALLANG/WHAMPOA')"	321105
201	"('105', 'WOODLANDS ST 13', 'WOODLANDS')"	730105
202	"('105A', 'EDGEFIELD PLAINS', 'PUNGGOL')"	821105
203	"('105B', 'EDGEFIELD PLAINS', 'PUNGGOL')"	822105
204	"('105C', 'EDGEFIELD PLAINS', 'PUNGGOL')"	823105
205	"('105D', 'EDGEFIELD PLAINS', 'PUNGGOL')"	824105
206	"('106', 'ALJUNIED CRES', 'GEYLANG')"	380106
207	"('106', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560106
208	"('106', 'BEDOK NTH AVE 4', 'BEDOK')"	460106
209	"('106', 'BEDOK RESERVOIR RD', 'BEDOK')"	470106
210	"('106', 'BISHAN ST 12', 'BISHAN')"	570106
211	"('106', 'BT BATOK CTRL', 'BUKIT BATOK')"	650106
212	"('106', 'BT PURMEI RD', 'BUKIT MERAH')"	90106
213	"('106', 'GANGSA RD', 'BUKIT PANJANG')"	670106
214	"('106', 'HENDERSON CRES', 'BUKIT MERAH')"	150106
215	"('106', 'HOUGANG AVE 1', 'HOUGANG')"	530106
216	"('106', 'JLN DUSUN', 'KALLANG/WHAMPOA')"	320106
217	"('106', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	321106
218	"('106', 'JURONG EAST ST 13', 'JURONG EAST')"	600106
219	"('106', 'LENGKONG TIGA', 'BEDOK')"	410106
220	"('106', 'PASIR RIS ST 12', 'PASIR RIS')"	510106
221	"('106', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350106
222	"('106', 'RIVERVALE WALK', 'SENGKANG')"	540106
223	"('106', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550106
224	"('106', 'SIMEI ST 1', 'TAMPINES')"	520106
225	"('106', 'SPOTTISWOODE PK RD', 'BUKIT MERAH')"	80106
226	"('106', 'TAMPINES ST 11', 'TAMPINES')"	521106
227	"('106', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680106
228	"('106', 'TOWNER RD', 'KALLANG/WHAMPOA')"	322106
229	"('106', 'WOODLANDS ST 13', 'WOODLANDS')"	730106
230	"('106', 'YISHUN RING RD', 'YISHUN')"	760106
231	"('106A', 'DEPOT RD', 'BUKIT MERAH')"	101106
232	"('106A', 'PUNGGOL FIELD', 'PUNGGOL')"	821106
233	"('106B', 'DEPOT RD', 'BUKIT MERAH')"	102106
234	"('106B', 'PUNGGOL FIELD', 'PUNGGOL')"	822106
235	"('106C', 'PUNGGOL FIELD', 'PUNGGOL')"	823106
236	"('106D', 'PUNGGOL FIELD', 'PUNGGOL')"	824106
237	"('107', 'ALJUNIED CRES', 'GEYLANG')"	380107
238	"('107', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560107
239	"('107', 'BEDOK NTH RD', 'BEDOK')"	460107
240	"('107', 'BEDOK RESERVOIR RD', 'BEDOK')"	470107
241	"('107', 'BISHAN ST 12', 'BISHAN')"	570107
242	"('107', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650107
243	"('107', 'BT PURMEI RD', 'BUKIT MERAH')"	90107
244	"('107', 'DEPOT RD', 'BUKIT MERAH')"	100107
245	"('107', 'GANGSA RD', 'BUKIT PANJANG')"	670107
246	"('107', 'JLN BT MERAH', 'BUKIT MERAH')"	161107
247	"('107', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	320107
248	"('107', 'JURONG EAST ST 13', 'JURONG EAST')"	600107
249	"('107', 'LENGKONG TIGA', 'BEDOK')"	410107
250	"('107', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310107
251	"('107', 'PASIR RIS ST 12', 'PASIR RIS')"	510107
252	"('107', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350107
253	"('107', 'RIVERVALE WALK', 'SENGKANG')"	540107
254	"('107', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550107
255	"('107', 'SIMEI ST 1', 'TAMPINES')"	520107
256	"('107', 'TAMPINES ST 11', 'TAMPINES')"	521107
257	"('107', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680107
258	"('107', 'TOWNER RD', 'KALLANG/WHAMPOA')"	321107
259	"('107', 'WOODLANDS ST 13', 'WOODLANDS')"	730107
260	"('107', 'YISHUN RING RD', 'YISHUN')"	760107
261	"('107A', 'EDGEFIELD PLAINS', 'PUNGGOL')"	821107
262	"('107B', 'EDGEFIELD PLAINS', 'PUNGGOL')"	822107
263	"('107C', 'EDGEFIELD PLAINS', 'PUNGGOL')"	823107
264	"('107D', 'EDGEFIELD PLAINS', 'PUNGGOL')"	824107
265	"('108', 'ALJUNIED CRES', 'GEYLANG')"	380108
266	"('108', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560108
267	"('108', 'BEDOK NTH RD', 'BEDOK')"	460108
268	"('108', 'BEDOK RESERVOIR RD', 'BEDOK')"	470108
269	"('108', 'BISHAN ST 12', 'BISHAN')"	570108
270	"('108', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650108
271	"('108', 'BT PURMEI RD', 'BUKIT MERAH')"	90108
272	"('108', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140108
273	"('108', 'GANGSA RD', 'BUKIT PANJANG')"	670108
274	"('108', 'HOUGANG AVE 1', 'HOUGANG')"	530108
275	"('108', 'JLN BT MERAH', 'BUKIT MERAH')"	160108
276	"('108', 'JLN RAJAH', 'KALLANG/WHAMPOA')"	320108
277	"('108', 'JURONG EAST ST 13', 'JURONG EAST')"	600108
278	"('108', 'LENGKONG TIGA', 'BEDOK')"	410108
279	"('108', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310108
280	"('108', 'MCNAIR RD', 'KALLANG/WHAMPOA')"	321108
281	"('108', 'PASIR RIS ST 12', 'PASIR RIS')"	510108
282	"('108', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350108
283	"('108', 'RIVERVALE WALK', 'SENGKANG')"	540108
284	"('108', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550108
